trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
719,False,"{'a': 0.3, 'e': 0.027214167668287145}",20,6,25.765410680321835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.3, 'e': 0.02707809682994571}",25,11,25.068747528306687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.3, 'e': 0.02694270634579598}",20,11,14.734451719769021,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.3, 'e': 0.026807992814067}",30,11,-15.23790840394806,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
723,False,"{'a': 0.3, 'e': 0.026673952849996664}",25,15,14.949921872186724,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.3, 'e': 0.02654058308574668}",25,11,26.90858883466639,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.3, 'e': 0.026407880170317945}",20,15,8.625564450627554,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.3, 'e': 0.026275840769466357}",25,15,19.812787677505135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.3, 'e': 0.026144461565619025}",20,13,13.55960689219312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.3, 'e': 0.02601373925779093}",20,11,15.455937934906299,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.3, 'e': 0.025883670561501974}",20,12,13.856962241837728,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.3, 'e': 0.025754252208694463}",35,16,35.9408767787087,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.3, 'e': 0.02562548094765099}",25,12,21.230216145271648,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.3, 'e': 0.025497353542912736}",25,17,13.156469876437015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.3, 'e': 0.02536986677519817}",25,17,14.496649125995713,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.3, 'e': 0.02524301744132218}",30,19,19.850066724467474,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.3, 'e': 0.025116802354115567}",25,17,14.71750090171576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.3, 'e': 0.024991218342344988}",30,19,11.026419280634949,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
737,False,"{'a': 0.3, 'e': 0.024866262250633264}",30,17,25.267821430661492,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.3, 'e': 0.024741930939380097}",30,12,37.27889749944503,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.3, 'e': 0.024618221284683196}",20,10,17.013013485623937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.3, 'e': 0.02449513017825978}",25,13,20.863925578313673,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.3, 'e': 0.02437265452736848}",25,17,16.217492593731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.3, 'e': 0.024250791254731636}",20,14,12.49634802374903,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.3, 'e': 0.024129537298457977}",20,10,18.628732859818882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.3, 'e': 0.024008889611965685}",25,20,12.088293945479714,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.3, 'e': 0.023888845163905856}",20,11,16.955750822289403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.3, 'e': 0.023769400938086327}",20,6,25.414424932661028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.3, 'e': 0.023650553933395897}",25,19,11.50490492868757,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.3, 'e': 0.023532301163728918}",30,19,20.518952195663456,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.3, 'e': 0.023414639657910272}",25,11,26.149663369067067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.3, 'e': 0.023297566459620722}",25,10,23.436020681579343,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.3, 'e': 0.023181078627322618}",25,10,27.3252736237632,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.3, 'e': 0.023065173234186005}",30,23,12.21527608809857,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.3, 'e': 0.022949847368015076}",20,13,13.19814006291369,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.3, 'e': 0.022835098131175}",35,21,27.692847648907804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.3, 'e': 0.022720922640519125}",30,16,20.840873737542523,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.3, 'e': 0.02260731802731653}",20,0,31.623974268898007,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.3, 'e': 0.022494281437179946}",30,14,27.341557947019353,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
